domain,primary_mx,mx_ip,asn,asn_name,bgp_prefix,cc,registry,mx_records,error
0ld0ak.com,mx4.beavis99.com,195.201.18.63,24940,"HETZNER-AS, DE",195.201.0.0/16,DE,ripencc,0 mx4.beavis99.com;10 mx4.beavis99.net,
0p6c95.igg.biz,,,,,,,,,
0live.org,route3.mx.cloudflare.net,162.159.205.23,13335,"CLOUDFLARENET, US",162.159.205.0/24,US,arin,54 route3.mx.cloudflare.net;88 route2.mx.cloudflare.net;91 route1.mx.cloudflare.net,
0r0wfuwfteqwmbt.cf,,,,,,,,,
0mel.com,ereg4.brushemail.com,146.190.78.248,14061,"DIGITALOCEAN-ASN, US",146.190.64.0/20,US,arin,0 ereg4.brushemail.com;10 wreg4.brushemail.com,
0r0wfuwfteqwmbt.ga,,,,,,,,,
0r0wfuwfteqwmbt.gq,,,,,,,,,
0nrg.com,,,,,,,,0 ,
0mixmail.info,mx37.mb5p.com,164.90.197.162,14061,"DIGITALOCEAN-ASN, US",164.90.192.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
0r0wfuwfteqwmbt.tk,,,,,,,,,
0r0wfuwfteqwmbt.ml,,,,,,,,,
0regon.net,,,,,,,,,
0regon.org,,,,,,,,,
0tinak9zyvf.cf,,,,,,,,,
0tinak9zyvf.ga,,,,,,,,,
0tinak9zyvf.ml,,,,,,,,,
0ne.lv,mail0001.0ne.lv,78.47.37.138,24940,"HETZNER-AS, DE",78.46.0.0/15,DE,ripencc,5 mail0001.0ne.lv,
0tinak9zyvf.gq,,,,,,,,,
0ne0ut.com,route2.mx.cloudflare.net,162.159.205.18,13335,"CLOUDFLARENET, US",162.159.205.0/24,US,arin,42 route2.mx.cloudflare.net;80 route1.mx.cloudflare.net;99 route3.mx.cloudflare.net,
0tinak9zyvf.tk,,,,,,,,,
0to6oiry4ghhscmlokt.cf,,,,,,,,,
0to6oiry4ghhscmlokt.ga,,,,,,,,,
0nes.net,mx37.mb5p.com,147.182.160.18,14061,"DIGITALOCEAN-ASN, US",147.182.160.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
0to6oiry4ghhscmlokt.ml,,,,,,,,,
0to6oiry4ghhscmlokt.gq,,,,,,,,,
0nly.org,mx37.mb5p.com,164.90.197.162,14061,"DIGITALOCEAN-ASN, US",164.90.192.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
0sx.ru,,,,,,,,,
0to6oiry4ghhscmlokt.tk,,,,,,,,,
0ulook.com,,,,,,,,,
0oing.higogoya.com,email-fake.com,91.196.52.205,30886,"KOMITEX-AS, UA",91.196.52.0/24,UA,ripencc,5 email-fake.com,
0utln.com,,,,,,,,,
0uxpgdvol9n.cf,,,,,,,,,
0uxpgdvol9n.ga,,,,,,,,,
0uxpgdvol9n.gq,,,,,,,,,
0pppp.com,mx4.beavis99.net,188.245.74.208,24940,"HETZNER-AS, DE",188.245.0.0/16,DE,ripencc,0 mx4.beavis99.net;10 mx4.beavis99.com,
0uxpgdvol9n.ml,,,,,,,,,
0uxpgdvol9n.tk,,,,,,,,,
0wn3d.pl,,,,,,,,,
0wos8czt469.ga,,,,,,,,,
0wos8czt469.gq,,,,,,,,,
0ranges.com,mx5.emailowl.com,45.63.17.188,20473,"AS-VULTR, US",45.63.16.0/21,US,arin,10 mx5.emailowl.com;10 mx6.emailowl.com;10 mx4.emailowl.com,
0rdered.com,w4.aerospaceemail.com,146.190.78.66,14061,"DIGITALOCEAN-ASN, US",146.190.64.0/20,US,arin,0 w4.aerospaceemail.com;10 e4.aerospaceemail.com,
0rdering.com,ereg4.brushemail.com,146.190.78.248,14061,"DIGITALOCEAN-ASN, US",146.190.64.0/20,US,arin,0 ereg4.brushemail.com;10 wreg4.brushemail.com,
0wos8czt469.tk,,,,,,,,,
0wwkw9.igg.biz,,,,,,,,,
0x00.name,,,,,,,,,
0x000.cf,,,,,,,,,
0x000.ga,,,,,,,,,
0sg.net,gourmet7.spamgourmet.com,216.75.62.102,10439,"CARINET, US",216.75.0.0/18,US,arin,10 gourmet7.spamgourmet.com,
0x000.ml,,,,,,,,,
0rg.fr,mx1.mail.ovh.net,188.165.36.237,16276,"OVH, FR",188.165.0.0/16,FR,ripencc,1 mx1.mail.ovh.net;5 mx2.mail.ovh.net;100 mx3.mail.ovh.net,
0x000.gq,,,,,,,,,
0tires.com,mail.wabblywabble.com,188.166.111.252,14061,"DIGITALOCEAN-ASN, US",188.166.64.0/18,US,ripencc,10 mail.wabblywabble.com;10 mail.wallywatts.com,
0x01.gq,,,,,,,,,
0x01.tk,,,,,,,,,
0x02.cf,,,,,,,,,
0x02.ga,,,,,,,,,
0x02.gq,,,,,,,,,
0x02.ml,,,,,,,,,
0x02.tk,,,,,,,,,
0x03.cf,,,,,,,,,
0x03.ga,,,,,,,,,
0x03.ml,,,,,,,,,
0x03.gq,,,,,,,,,
0x207.info,,,,,,,,,
0x03.tk,,,,,,,,,
0za7vhxzpkd.cf,,,,,,,,,
0za7vhxzpkd.ga,,,,,,,,,
0za7vhxzpkd.gq,,,,,,,,,
0u.ro,0u.ro,5.196.143.43,16276,"OVH, FR",5.196.0.0/16,FR,ripencc,0 0u.ro,
0za7vhxzpkd.ml,,,,,,,,,
0za7vhxzpkd.tk,,,,,,,,,
0zc7eznv3rsiswlohu.cf,,,,,,,,,
0zc7eznv3rsiswlohu.ml,,,,,,,,,
0vomphqb.emlhub.com,mx.emlhub.com,78.47.124.133,24940,"HETZNER-AS, DE",78.46.0.0/15,DE,ripencc,10 mx.emlhub.com,
0zc7eznv3rsiswlohu.tk,,,,,,,,,
0zspgifzbo.cf,,,,,,,,,
0wnd.org,gourmet7.spamgourmet.com,216.75.62.102,10439,"CARINET, US",216.75.0.0/18,US,arin,10 gourmet7.spamgourmet.com,
0wnd.net,gourmet7.spamgourmet.com,216.75.62.102,10439,"CARINET, US",216.75.0.0/18,US,arin,10 gourmet7.spamgourmet.com,
0zspgifzbo.ga,,,,,,,,,
0v.ro,0v.ro,5.196.143.43,16276,"OVH, FR",5.196.0.0/16,FR,ripencc,0 0v.ro,
0zspgifzbo.gq,,,,,,,,,
0zspgifzbo.tk,,,,,,,,,
0zspgifzbo.ml,,,,,,,,,
0w.ro,0w.ro,5.196.143.43,16276,"OVH, FR",5.196.0.0/16,FR,ripencc,0 0w.ro,
1-8.biz,,,,,,,,,
1-million-rubley.xyz,,,,,,,,,
1-up.ga,,,,,,,,,
1-up.cf,,,,,,,,,
1-up.gq,,,,,,,,,
1-up.ml,,,,,,,,,
1-up.tk,,,,,,,,,
1.a.z.1.gmail.i.0.83.y.9.aiot.ptcu.dev,,,,,,,,,
1.atm-mi.cf,,,,,,,,,
1.atm-mi.ga,,,,,,,,,
1.atm-mi.ml,,,,,,,,,
1.atm-mi.gq,,,,,,,,,
1.batikbantul.com,,,,,,,,,
1.atm-mi.tk,,,,,,,,,
1.bestsitetoday.website,,,,,,,,,
1.emaile.org,,,,,,,,,
1.emailfake.ml,,,,,,,,,
1-tm.com,,,,,,,,0 ,
1.kerl.cf,,,,,,,,,
1.fackme.gq,,,,,,,,,
1.supere.ml,,,,,,,,,
10-minute-mail.com,,,,,,,,,
10-minute-mail.de,,,,,,,,,
10.laste.ml,,,,,,,,,
10.dns-cloud.net,,,,,,,,,
10-tube.ru,,,,,,,,,
0xmiikee.com,emailfake.com,91.196.52.205,30886,"KOMITEX-AS, UA",91.196.52.0/24,UA,ripencc,1 emailfake.com,
100000077764194.igg.biz,,,,,,,,,
100000092390343.igg.biz,,,,,,,,,
100000104499299.igg.biz,,,,,,,,,
100000131199120.igg.biz,,,,,,,,,
100000137380775.igg.biz,,,,,,,,,
100000180610960.igg.biz,,,,,,,,,
100000157680473.igg.biz,,,,,,,,,
100000182660959.igg.biz,,,,,,,,,
100000388631904.igg.biz,,,,,,,,,
100000643902757.igg.biz,,,,,,,,,
100000541855334.igg.biz,,,,,,,,,
100008318651130.igg.biz,,,,,,,,,
10-minuten-mail.de,,,,,,,,,
1000gay.com,,,,,,,,,
100024428117075.igg.biz,,,,,,,,,
10000websites.miasta.pl,,,,,,,,,
100000080419180.usa.cc,,,,,,,,,
1-3-3-7.net,mx6.4-speed.net,68.142.140.189,13649,"ASN-FLEXENTIAL, US",68.142.140.0/22,US,arin,10 mx6.4-speed.net,
1000kti.xyz,,,,,,,,,
1-box.ru,mx.yandex.ru,77.88.21.249,13238 208398,,77.88.0.0/18,RU,ripencc,0 mx.yandex.ru,
1000mail.com,,,,,,,,,
1-second-mail.site,mx1.hostinger.com,172.65.182.103,13335,"CLOUDFLARENET, US",172.65.176.0/20,US,arin,5 mx1.hostinger.com;10 mx2.hostinger.com,
1000mail.tk,,,,,,,,,
1000rub.com,,,,,,,,,
1000maketov.ru,,,,,,,,,
1000xbetslots.xyz,,,,,,,,,
1001gmail.com,,,,,,,,,
100370263442124.igg.biz,,,,,,,,,
100879523106.igg.biz,,,,,,,,,
100bet.online,,,,,,,,,
100kti.xyz,,,,,,,,,
100hot.ru,,,,,,,,,
100likers.com,,,,,,,,,
100lvl.com,,,,,,,,,
100pet.ru,,,,,,,,,
100ss.ru,,,,,,,,,
1.spymail.one,mx.spymail.one,94.130.108.80,24940,"HETZNER-AS, DE",94.130.0.0/16,DE,ripencc,10 mx.spymail.one,
100vesov24.ru,,,,,,,,,
100tb-porno.ru,,,,,,,,,
10100.ml,,,,,,,,,
1012gmail.com,,,,,,,,,
1019701385.igg.biz,,,,,,,,,
101livemail.top,,,,,,,,,
101peoplesearches.com,,,,,,,,,
100lat.com.pl,,,,,,,,,
101pl.us,,,,,,,,,
100m.hl.cninfo.net,,,,,,,,,
101price.co,,,,,,,,,
101searchen.com,,,,,,,,,
1020pay.com,,,,,,,,,
10215selivo.igg.biz,,,,,,,,,
102pc.site,,,,,,,,,
1045823090.igg.biz,,,,,,,,,
1000gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
1050.gq,,,,,,,,,
1052047940.igg.biz,,,,,,,,,
1056windtreetrace.com,,,,,,,,,
106.igg.biz,,,,,,,,,
105kg.ru,,,,,,,,,
1000rebates.stream,mail.b-io.co,142.93.226.250,14061,"DIGITALOCEAN-ASN, US",142.93.224.0/20,US,arin,1 mail.b-io.co,
10dkmail.net,,,,,,,,,
10dk.email,,,,,,,,,
100gmail.com,mx37.mb5p.com,147.182.130.78,14061,"DIGITALOCEAN-ASN, US",147.182.128.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
100kkk.ru,mx1.hosting.reg.ru,31.31.194.240,197695,"AS-REG, RU",31.31.194.0/24,RU,ripencc,10 mx1.hosting.reg.ru;20 mx2.hosting.reg.ru,
100xbit.com,mx4.beavis99.net,188.245.74.208,24940,"HETZNER-AS, DE",188.245.0.0/16,DE,ripencc,0 mx4.beavis99.net;0 mx4.beavis99.com,
101gmail.com,mx4.mb1p.com,65.21.178.206,24940,"HETZNER-AS, DE",65.21.0.0/16,DE,ripencc,0 mx4.mb1p.com;10 mx4.m2bp.com,
10mail.tk,,,,,,,,,
10mail.com,,,,,,,,,
10mails.net,,,,,,,,,
1012.com,mail.mailerhost.net,161.35.84.83,14061,"DIGITALOCEAN-ASN, US",161.35.80.0/20,US,arin,1 mail.mailerhost.net,
102gmail.com,mx4.mb1p.com,65.21.178.206,24940,"HETZNER-AS, DE",65.21.0.0/16,DE,ripencc,0 mx4.mb1p.com;10 mx4.m2bp.com,
10minemail.net,,,,,,,,,
105gmail.com,mail4.outsideserver.com,146.190.210.201,14061,"DIGITALOCEAN-ASN, US",146.190.208.0/20,US,arin,0 mail4.outsideserver.com;10 mx4.outsideserver.com,
106gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
107punto7.com,malibuzz.107punto7.com,207.180.251.239,51167,"CONTABO, DE",207.180.250.0/23,DE,ripencc,0 malibuzz.107punto7.com,
10minut.com.pl,,,,,,,,,
1092df.com,mx4.beavis99.com,195.201.18.63,24940,"HETZNER-AS, DE",195.201.0.0/16,DE,ripencc,0 mx4.beavis99.com;0 mx4.beavis99.net,
10963rip1.mimimail.me,mx.mimimail.me,78.47.124.133,24940,"HETZNER-AS, DE",78.46.0.0/15,DE,ripencc,10 mx.mimimail.me,
10bir.com,route3.mx.cloudflare.net,162.159.205.25,13335,"CLOUDFLARENET, US",162.159.205.0/24,US,arin,25 route3.mx.cloudflare.net;27 route2.mx.cloudflare.net;86 route1.mx.cloudflare.net,
10minute-email.com,,,,,,,,,
10host.top,mx4.mainnetmail.com,165.22.206.176,14061,"DIGITALOCEAN-ASN, US",165.22.192.0/20,US,arin,10 mx4.mainnetmail.com;10 em4.mainnetmail.com,
10inbox.online,route1.mx.cloudflare.net,162.159.205.12,13335,"CLOUDFLARENET, US",162.159.205.0/24,US,arin,3 route1.mx.cloudflare.net;8 route2.mx.cloudflare.net;81 route3.mx.cloudflare.net,
10launcheds.com,ereg4.brushemail.com,146.190.78.248,14061,"DIGITALOCEAN-ASN, US",146.190.64.0/20,US,arin,0 ereg4.brushemail.com;10 wreg4.brushemail.com,
10minute.cf,,,,,,,,,
10m.in,mx1.hostinger.com,172.65.182.103,13335,"CLOUDFLARENET, US",172.65.176.0/20,US,arin,5 mx1.hostinger.com;10 mx2.hostinger.com,
10m.email,eforward3.registrar-servers.com,162.255.118.51,22612,"NAMECHEAP-NET, US",162.255.116.0/22,US,arin,10 eforward3.registrar-servers.com;10 eforward1.registrar-servers.com;10 eforward2.registrar-servers.com;15 eforward4.registrar-servers.com;20 eforward5.registrar-servers.com,
10minutemail.cf,,,,,,,,,
10minutemail.com,,,,,,,,,
10minutemail.ga,,,,,,,,,
10mail.org,mx.10mail.org,78.47.124.133,24940,"HETZNER-AS, DE",78.46.0.0/15,DE,ripencc,10 mx.10mail.org,
10mail.xyz,mx.10mail.xyz,94.130.108.80,24940,"HETZNER-AS, DE",94.130.0.0/16,DE,ripencc,10 mx.10mail.xyz,
10minutemail.gq,,,,,,,,,
10minutemail.info,,,,,,,,,
10minutemail.ml,,,,,,,,,
10minutemail.org,,,,,,,,,
10minutemail.pro,,,,,,,,,
10mi.org,mail.wabblywabble.com,188.166.111.252,14061,"DIGITALOCEAN-ASN, US",188.166.64.0/18,US,ripencc,10 mail.wabblywabble.com;10 mail.wallywatts.com,
10minutemail.de,,,,,,,,,
10minutemailbox.com,,,,,,,,,
10minutemail.ru,,,,,,,,,
10minutemails.in,,,,,,,,,
10minemail.com,mx.yandex.net,77.88.21.249,13238 208398,,77.88.0.0/18,RU,ripencc,10 mx.yandex.net,
10minmail.de,tja.papierkorb.me,37.27.136.159,24940,"HETZNER-AS, DE",37.27.0.0/16,DE,ripencc,1 tja.papierkorb.me,
10minut.xyz,mail.10minut.xyz,141.147.111.168,31898,"ORACLE-BMC-31898, US",141.147.64.0/18,US,ripencc,0 mail.10minut.xyz,
10minutesmail.com,,,,,,,,,
10minutesmail.fr,,,,,,,,,
10minutesmail.us,,,,,,,,,
10minutetempemail.com,,,,,,,,,
10minutmail.pl,,,,,,,,,
10minutesmail.ru,,,,,,,,,
10minuteemails.com,route3.mx.cloudflare.net,162.159.205.24,13335,"CLOUDFLARENET, US",162.159.205.0/24,US,arin,25 route3.mx.cloudflare.net;34 route2.mx.cloudflare.net;75 route1.mx.cloudflare.net,
10mt.cc,,,,,,,,,
10minutemail.be,mail.10minutemail.be,98.71.157.168,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",98.70.0.0/15,US,arin,10 mail.10minutemail.be,
10minutemail.co.uk,mx37.mb5p.com,164.90.197.143,14061,"DIGITALOCEAN-ASN, US",164.90.192.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
10pmdesign.com,,,,,,,,,
10minutemail.co.za,route3.mx.cloudflare.net,162.159.205.25,13335,"CLOUDFLARENET, US",162.159.205.0/24,US,arin,35 route3.mx.cloudflare.net;77 route1.mx.cloudflare.net;86 route2.mx.cloudflare.net,
10x.es,,,,,,,,,
11-32.cf,,,,,,,,,
11-32.ga,,,,,,,,,
11-32.gq,,,,,,,,,
10minutemail.net,ms1.fishyes.net,45.33.37.8,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",45.33.32.0/19,US,arin,10 ms1.fishyes.net,
11-32.ml,,,,,,,,,
10minutemail.nl,mx1.mijndomein.nl,185.233.34.27,211993,"SOVERIN, NL",185.233.34.0/24,NL,ripencc,5 mx1.mijndomein.nl;6 mx2.mijndomein.nl,
11-32.tk,,,,,,,,,
110202.com,,,,,,,,,
10minutemail.pl,mail.10minutemail.pl,188.210.221.79,50599,"Autonomous System for Dataspace P.S.A., PL",188.210.220.0/22,PL,ripencc,10 mail.10minutemail.pl,
10x9.com,,,,,,,,0 ,
111114302323823.igg.biz,,,,,,,,,
10minutemail.us,mail.casadorock.com,5.78.44.170,212317,"HETZNER-CLOUD3-AS, DE",5.78.44.0/24,DE,ripencc,10 mail.casadorock.com,
10minutenmail.xyz,tja.papierkorb.me,37.27.136.159,24940,"HETZNER-AS, DE",37.27.0.0/16,DE,ripencc,1 tja.papierkorb.me,
1111.ru,,,,,,,,,
11141z.com,,,,,,,,,
10minutenemail.de,mail.10minutenemail.de,37.221.193.144,197540,"NETCUP-AS netcup GmbH, DE",37.221.192.0/22,DE,ripencc,10 mail.10minutenemail.de,
10minutesemail.net,_dc-mx.4b51a05ff504.10minutesemail.net,5.9.89.199,24940,"HETZNER-AS, DE",5.9.0.0/16,DE,ripencc,0 _dc-mx.4b51a05ff504.10minutesemail.net,
111vt.com,,,,,,,,,
112095862189353.igg.biz,,,,,,,,,
112288211.com,,,,,,,,,
11216812520.com,,,,,,,,,
10minutesmail.net,mail.h-email.net,165.227.159.144,14061,"DIGITALOCEAN-ASN, US",165.227.144.0/20,US,arin,5 mail.h-email.net,
10vpn.info,em4.mainnetmail.com,142.93.233.86,14061,"DIGITALOCEAN-ASN, US",142.93.224.0/20,US,arin,10 em4.mainnetmail.com;10 mx4.mainnetmail.com,
10x10-bet.com,eforward2.registrar-servers.com,162.255.118.52,22612,"NAMECHEAP-NET, US",162.255.118.0/24,US,arin,10 eforward2.registrar-servers.com;10 eforward3.registrar-servers.com;10 eforward1.registrar-servers.com;15 eforward4.registrar-servers.com;20 eforward5.registrar-servers.com,
110mail.net,mx.powered.name,65.109.49.216,24940,"HETZNER-AS, DE",65.109.0.0/16,DE,ripencc,10 mx.powered.name,
111222.pl,mx.111222.pl,104.131.176.42,14061,"DIGITALOCEAN-ASN, US",104.131.176.0/20,US,arin,10 mx.111222.pl,
11111.ru,mx1.hosting.reg.ru,31.31.194.240,197695,"AS-REG, RU",31.31.194.0/24,RU,ripencc,10 mx1.hosting.reg.ru;20 mx2.hosting.reg.ru,
111gmail.com,mx37.mb5p.com,147.182.189.184,14061,"DIGITALOCEAN-ASN, US",147.182.176.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
11163.com,hzmx01.mxmail.netease.com,8.209.88.255,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",8.209.64.0/18,SG,apnic,5 hzmx01.mxmail.netease.com;10 hzmx02.mxmail.netease.com;15 mx3.qiye.aliyun.com;20 mx01.dm.aliyun.com,
